1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
1601	-0.686975	40.374471	59.864456	0.002802	0.8
1602	-0.707215	39.872781	60.357836	0.003012	0.8
1603	-0.711455	40.740752	59.509307	0.002554	0.9
1604	-0.687877	40.835514	59.418109	0.002382	0.9
1605	-0.713944	40.346806	59.891453	0.002000	0.9
1606	-0.713156	39.997733	60.234195	0.001270	0.9
1607	-0.695979	40.522750	59.720174	0.001651	1.0
1608	-0.701095	40.522725	59.720199	0.002620	0.9
1609	-0.712820	40.958644	59.300028	0.002446	0.9
1610	-0.711164	41.761112	58.541814	0.003223	0.9
1611	-0.722664	41.259123	59.013830	0.001857	0.8
1612	-0.713714	40.847480	59.406613	0.001640	0.8
1613	-0.697935	40.710031	59.538932	0.003307	1.0
1614	-0.689213	41.158922	59.108961	0.001781	0.9
1615	-0.708923	40.756257	59.494366	0.002631	0.9
1616	-0.724318	40.471993	59.769484	0.002166	0.9
1617	-0.713246	40.239614	59.996285	0.002087	0.9
1618	-0.697661	40.477425	59.764204	0.002905	0.9
1619	-0.709915	39.989108	60.242713	0.001512	0.9
1620	-0.704907	40.427781	59.812503	0.001898	0.8
1621	-0.695918	40.667094	59.580387	0.001511	0.8
1622	-0.705967	40.944472	59.313595	0.003450	0.8
1623	-0.711287	40.957789	59.300847	0.001439	1.0
1624	-0.701654	40.466852	59.774484	0.002097	0.8
1625	-0.725677	40.197491	60.037582	0.001801	0.8
1626	-0.730986	39.857655	60.372838	0.002334	0.8
1627	-0.693889	40.023195	60.209062	0.002165	0.8
1628	-0.712232	39.541318	60.688294	0.001970	0.9
1629	-0.712421	39.052369	61.182421	0.001669	0.8
1630	-0.696674	39.788441	60.441578	0.001347	0.9
1631	-0.707790	39.483454	60.746354	0.002316	0.9
1632	-0.718139	39.128888	61.104562	0.002667	0.9
1633	-0.710468	40.037708	60.194746	0.001813	0.8
1634	-0.703462	39.701732	60.527916	0.003732	0.8
1635	-0.711951	39.402541	60.827728	0.002361	1.1
1636	-0.720714	40.401814	59.837798	0.002077	0.8
1637	-0.697902	40.478109	59.763538	0.001743	0.8
1638	-0.736129	40.000204	60.231755	0.002485	1.0
1639	-0.685910	40.257589	59.978680	0.002119	1.0
1640	-0.712810	39.757382	60.472476	0.004035	1.0
1641	-0.710065	39.255368	60.976299	0.001981	0.9
1642	-0.696749	40.252834	59.983336	0.002241	0.9
1643	-0.707736	39.994540	60.237348	0.002340	0.9
1644	-0.701114	40.681357	59.566610	0.003397	0.9
1645	-0.695853	41.605921	58.686931	0.002214	0.8
1646	-0.706532	41.104387	59.160866	0.001874	0.8
1647	-0.690962	40.647539	59.599287	0.003026	0.8
1648	-0.711358	41.612397	58.680861	0.002438	0.9
1649	-0.714003	42.484892	57.874389	0.003939	0.9
1650	-0.724737	41.982954	58.335614	0.002670	0.9
1651	-0.702581	41.481140	58.804134	0.002036	0.9
1652	-0.708058	42.231545	58.106272	0.001746	0.9
1653	-0.713140	41.863343	58.446611	0.001834	0.9
1654	-0.710280	41.620810	58.672977	0.004610	0.9
1655	-0.714805	41.128352	59.138046	0.003851	0.9
1656	-0.698851	42.128350	58.201258	0.001678	0.9
1657	-0.693604	42.427021	57.927194	0.002810	0.9
1658	-0.728628	43.122599	57.298821	0.003414	0.9
1659	-0.701948	42.620509	57.751021	0.003175	0.8
1660	-0.708065	43.616767	56.860618	0.003748	0.8
1661	-0.719343	44.616393	55.994382	0.002410	0.8
1662	-0.719971	44.500174	56.093734	0.004287	0.8
1663	-0.700014	45.493791	55.255525	0.003847	0.8
1664	-0.704260	46.493791	54.436849	0.001342	0.9
1665	-0.719224	45.997880	54.839785	0.003366	0.9
1666	-0.721528	45.502084	55.248635	0.001293	0.8
1667	-0.716172	45.255957	55.453872	0.002350	0.8
1668	-0.716405	45.250862	55.458136	0.002455	0.8
1669	-0.707117	46.210993	54.665898	0.001848	0.8
1670	-0.717270	46.874734	54.131326	0.002948	0.8
1671	-0.702734	47.802715	53.401226	0.001811	1.0
1672	-0.716280	48.776230	52.656175	0.001519	0.9
1673	-0.713755	48.523460	52.847619	0.003386	0.9
1674	-0.702802	48.274765	53.037341	0.002310	0.8
1675	-0.711650	48.862877	52.590868	0.001609	0.8
1676	-0.695446	48.373222	52.962069	0.003352	0.8
1677	-0.719103	47.878714	53.342304	0.001068	0.8
1678	-0.718323	48.123678	53.153268	0.001376	0.8
1679	-0.720946	48.157996	53.126891	0.001852	0.8
1680	-0.705895	47.796394	53.406132	0.003052	0.9
1681	-0.711072	47.335366	53.766440	0.001704	1.0
1682	-0.705302	48.243271	53.061464	0.003432	1.1
1683	-0.718608	48.037243	53.219815	0.002913	1.0
1684	-0.713637	49.036980	52.460134	0.002157	0.8
1685	-0.693456	49.645807	52.008031	0.001386	0.9
1686	-0.714142	49.406032	52.185150	0.001875	0.8
1687	-0.715803	49.036113	52.460783	0.001632	0.8
1688	-0.711755	49.631453	52.018600	0.002258	0.9
1689	-0.723284	50.200943	51.602538	0.002345	0.8
1690	-0.703351	49.798781	51.895658	0.003821	0.8
1691	-0.725557	50.796002	51.174846	0.001359	0.8
1692	-0.700584	50.982251	51.042434	0.002586	0.8
1693	-0.717680	50.864048	51.126390	0.002108	0.9
1694	-0.699221	51.677963	50.553829	0.001558	0.8
1695	-0.700247	51.207918	50.882915	0.003163	0.8
1696	-0.726251	51.380632	50.761499	0.001341	0.8
1697	-0.702727	51.503497	50.675478	0.002909	0.8
1698	-0.709927	52.118263	50.249407	0.003085	0.8
1699	-0.712450	53.103025	49.581637	0.002985	0.8
1700	-0.702153	54.101784	48.922264	0.004302	0.8
1701	-0.694399	55.101713	48.279457	0.001487	0.8
1702	-0.700060	54.605515	48.596314	0.001062	0.8
1703	-0.701596	54.582909	48.610848	0.001447	1.1
1704	-0.684314	54.539400	48.638847	0.001688	0.9
1705	-0.695068	54.948245	48.377014	0.001665	0.9
1706	-0.693180	55.075025	48.296393	0.002102	0.8
1707	-0.710562	54.930018	48.388627	0.002470	0.8
1708	-0.710232	55.827668	47.823257	0.002028	0.8
1709	-0.709948	56.631995	47.327772	0.001029	0.9
1710	-0.710121	56.456544	47.434977	0.004120	0.9
1711	-0.704764	56.077778	47.668076	0.001838	0.8
1712	-0.700362	56.174325	47.608441	0.001670	0.8
1713	-0.699289	55.755482	47.868234	0.001998	0.8
1714	-0.730746	55.658301	47.928917	0.001868	0.8
1715	-0.701146	55.561442	47.989553	0.002971	0.8
1716	-0.718145	55.074185	48.296927	0.002034	0.8
1717	-0.719982	55.747718	47.873076	0.002937	0.8
1718	-0.718348	56.336200	47.508790	0.003841	0.9
1719	-0.707223	56.419425	47.457719	0.002298	0.9
1720	-0.706350	57.419058	46.852760	0.001254	0.9
1721	-0.722054	57.259241	46.948441	0.001156	0.8
1722	-0.705124	57.037608	47.081778	0.003088	0.8
1723	-0.711048	56.737226	47.263705	0.001805	0.8
1724	-0.717932	57.499260	46.804892	0.002395	0.8
1725	-0.708590	57.090590	47.049835	0.003096	0.8
1726	-0.701216	56.642116	47.321602	0.002767	0.8
1727	-0.729131	57.602922	46.743165	0.001815	0.8
1728	-0.711054	57.595930	46.747323	0.003098	0.8
1729	-0.714923	57.651393	46.714358	0.002070	0.8
1730	-0.710304	57.150666	47.013667	0.002895	0.8
1731	-0.713119	56.652302	47.315395	0.002572	0.8
1732	-0.722317	57.642265	46.719780	0.003608	0.8
1733	-0.693441	58.578500	46.170126	0.002666	0.9
1734	-0.684194	59.578150	45.597341	0.002187	0.9
1735	-0.705969	59.764553	45.492103	0.001752	0.8
1736	-0.726972	60.154672	45.273418	0.003127	0.9
1737	-0.705849	59.666380	45.547468	0.003071	1.0
1738	-0.710644	59.538399	45.619845	0.002622	0.8
1739	-0.705254	59.092893	45.873600	0.002314	0.8
1740	-0.708961	60.078045	45.316206	0.001558	0.8
1741	-0.712868	60.485753	45.089469	0.002413	0.8
1742	-0.713393	60.081301	45.314386	0.002729	1.0
1743	-0.700306	59.594283	45.588213	0.002904	1.0
1744	-0.694125	59.126762	45.854209	0.002158	1.0
1745	-0.703643	59.981724	45.370105	0.001776	0.9
1746	-0.727835	60.787732	44.922988	0.002933	0.8
1747	-0.718243	60.302824	45.190919	0.002901	1.0
1748	-0.714119	59.805824	45.468868	0.001646	1.2
1749	-0.703966	60.766964	44.934398	0.002797	0.9
1750	-0.711114	60.391836	45.141497	0.002932	1.0
1751	-0.696001	59.890014	45.421544	0.002814	1.1
1752	-0.709745	60.858531	44.884135	0.001734	0.9
1753	-0.712869	60.827295	44.901268	0.001875	0.8
1754	-0.694614	60.385055	45.145258	0.002189	1.0
1755	-0.713460	60.171593	45.263980	0.003086	0.9
1756	-0.707384	59.673099	45.543674	0.002012	1.0
1757	-0.699377	60.642959	45.002648	0.001461	0.8
1758	-0.702589	60.343012	45.168592	0.003823	1.0
1759	-0.703272	60.133581	45.285186	0.002952	1.2
1760	-0.711157	61.131731	44.734834	0.002763	1.1
1761	-0.699707	60.687766	44.977963	0.001832	0.9
1762	-0.713123	60.191104	45.253102	0.001995	0.9
1763	-0.726177	59.723704	45.515123	0.001560	0.9
1764	-0.704696	59.633913	45.565807	0.001109	1.3
1765	-0.699644	59.558943	45.608212	0.003210	1.0
1766	-0.709550	59.857649	45.439725	0.003348	1.0
1767	-0.723169	59.655213	45.553774	0.001447	1.0
1768	-0.714646	59.997180	45.361448	0.002289	0.9
1769	-0.714059	59.646237	45.558844	0.001654	0.9
1770	-0.723140	60.341505	45.169429	0.002572	1.1
1771	-0.719051	59.864153	45.436070	0.001779	0.9
1772	-0.715665	59.782744	45.481859	0.002203	0.9
1773	-0.715413	60.646007	45.000968	0.001250	1.0
1774	-0.707544	60.769642	44.932927	0.002858	0.9
1775	-0.715528	61.162630	44.718010	0.002559	0.9
1776	-0.703182	62.145959	44.189151	0.001617	0.9
1777	-0.702189	63.083052	43.696669	0.001959	0.9
1778	-0.725341	62.633451	43.931576	0.001805	1.1
1779	-0.724792	63.496735	43.482738	0.002020	1.1
1780	-0.738183	64.339549	43.053301	0.002132	1.0
1781	-0.697947	64.905034	42.769896	0.002165	1.1
1782	-0.697759	65.542322	42.454943	0.001212	1.0
1783	-0.691575	65.098808	42.673638	0.001970	0.9
1784	-0.712850	64.863411	42.790629	0.001479	0.9
1785	-0.703819	64.405097	43.020258	0.002610	1.0
1786	-0.695442	63.928088	43.261887	0.001552	1.1
1787	-0.713398	63.668968	43.394285	0.001612	1.0
1788	-0.698371	63.576857	43.441545	0.001732	0.8
1789	-0.722037	64.089586	43.179777	0.002075	0.9
1790	-0.708086	64.483436	42.980834	0.002650	0.9
1791	-0.703983	64.034545	43.207726	0.001385	0.9
1792	-0.718660	64.755929	42.844260	0.003041	1.0
1793	-0.708729	64.311735	43.067338	0.001390	1.3
1794	-0.721209	65.124549	42.660883	0.002051	1.1
1795	-0.704470	64.730361	42.857038	0.002098	0.9
1796	-0.709562	64.257919	43.094523	0.002907	0.9
1797	-0.718490	63.757820	43.348795	0.001973	0.8
1798	-0.707125	64.740401	42.852020	0.001852	1.0
1799	-0.713643	64.523746	42.960575	0.001833	1.0
1800	-0.703737	64.845755	42.799430	0.002141	0.9
